kimarite,group
abisetaoshi,kihonwaza
oshidashi,kihonwaza
oshitaoshi,kihonwaza
tsukidashi,kihonwaza
tsukitaoshi,kihonwaza
yorikiri,kihonwaza
yoritaoshi,kihonwaza
ipponzeoi,nagete
kakenage,nagete
koshinage,nagete
kotenage,nagete
kubinage,nagete
nichonage,nagete
shitatedashinage,nagete
shitatenage,nagete
sukuinage,nagete
tsukaminage,nagete
uwatedashinage,nagete
uwatenage,nagete
yaguranage,nagete
ashitori,kakete
chongake,kakete
kawazugake,kakete
kekaeshi,kakete
ketaguri,kakete
kirikaeshi,kakete
komatasukui,kakete
kozumatori,kakete
mitokorozeme,kakete
nimaigeri,kakete
omata,kakete
sotogake,kakete
sotokomata,kakete
susoharai,kakete
susotori,kakete
tsumatori,kakete
uchigake,kakete
watashikomi,kakete
amiuchi,hinerite
gasshohineri,hinerite
harimanage,hinerite
kainahineri,hinerite
katasukashi,hinerite
kotehineri,hinerite
kubihineri,hinerite
makiotoshi,hinerite
osakate,hinerite
sabaori,hinerite
sakatottari,hinerite
shitatehineri,hinerite
sotomuso,hinerite
tokkurinage,hinerite
tottari,hinerite
tsukiotoshi,hinerite
uchimuso,hinerite
uwatehineri,hinerite
zubuneri,hinerite
izori,sorite
kakezori,sorite
shumokuzori,sorite
sototasukizori,sorite
tasukizori,sorite
tsutaezori,sorite
hatakikomi,tokushuwaza
hikiotoshi,tokushuwaza
hikkake,tokushuwaza
kimedashi,tokushuwaza
kimetaoshi,tokushuwaza
okuridashi,tokushuwaza
okurigake,tokushuwaza
okurihikiotoshi,tokushuwaza
okurinage,tokushuwaza
okuritaoshi,tokushuwaza
okuritsuridashi,tokushuwaza
okuritsuriotoshi,tokushuwaza
sokubiotoshi,tokushuwaza
tsuridashi,tokushuwaza
tsuriotoshi,tokushuwaza
ushiromotare,tokushuwaza
utchari,tokushuwaza
waridashi,tokushuwaza
yobimodoshi,tokushuwaza
fumidashi,hiwaza
isamiashi,hiwaza
koshikudake,hiwaza
tsukihiza,hiwaza
tsukite,hiwaza
